name,meal time,main ingredients,Cleaned_Ingredients,url,category,author,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories,carbohydrates_g,sugars_g,fat_g,saturated_fat_g,cholesterol_mg,protein_g,dietary_fiber_g,sodium_mg,calories_from_fat,calcium_mg,iron_mg,magnesium_mg,potassium_mg,vitamin_a_iu_IU,niacin_equivalents_mg,vitamin_c_mg,folate_mcg,thiamin_mg,cuisine,Quantities,Units,Ingredients
Toum,"lunch,dinner","garlic,vegetable oil,salt,lemon juiced","garlic,vegetable oil,salt,lemon juice",https://www.allrecipes.com/recipe/103733/toum/,appetizers-and-snacks,Sahaj108,"This is a traditional Lebanese garlic dipping sauce. Not for the faint of heart! Keeps for weeks in the fridge. Serve at room temperature with Lebanese breads, hummus, and tabbouleh.",4.52,31,24,"4 cloves garlic, peeled ; ¼ cup vegetable oil, or as needed ; 1 pinch salt ; 1  lemon, juiced","Crush garlic in a mortar and pestle with a generous pinch of salt. Mix in oil a teaspoon at a time until the mixture will absorb no more oil. Stir in the lemon juice. serve at room temperature with Lebanese breads, hummus or Tabbouleh.",10 mins,,10 mins,6,6 servings,86.9,2.6,,9.1,1.4,,0.3,0.9,0.9,82.3,14.6,0.2,2.7,34.1,5.6,0.1,14.5,1.3,,Lebanese,4; ¼; 1; 1,cloves; cup; pinch; no unit,"garlic, peeled; vegetable oil, or as needed; salt; lemon, juiced"
Homemade Manti (Traditional Turkish Dumplings),lunch,"flour,eggs,onions,beef,vegetable oil,garlic,yogurt","flour,salt,egg,water,onion,beef,pepper,vegetable oil,red pepper,garlic,yogurt",https://www.allrecipes.com/recipe/154920/homemade-manti-traditional-turkish-dumplings/,main-dish,Asli   Ocak,"Manti is a famous meal from my country. To prepare this dish takes time, but I'm sure you'll agree it's worth it! Enjoy-afiyet olsun (bon appetit)!",4.65,40,31,"2 cups flour ; ½ teaspoon salt ; 2  eggs ; ½ teaspoon water, or as needed ; 2  onions, peeled ; ½ pound ground beef ;   salt and pepper to taste ; 3 tablespoons vegetable oil ; 1 tablespoon red pepper flakes ; 1 tablespoon minced garlic ; 1 (8 ounce) container plain yogurt","Combine the flour and salt in a mixing bowl. Add the eggs and water, mixing well with your hands. Add more water, if needed, to form a soft dough. Cover and set aside for at least 30 minutes. Shred the onions and place them in a colander or sieve set over a bowl; drain the juice and discard. Combine the onion, ground beef, salt, and pepper; mix the meat well with a spoon until mashed. Divide the dough into two portions and lightly flour a work surface. Keep one piece of dough covered while you roll out the second portion into a rectangle, rolling the dough as thin as you can. Cut the rectangle into 2-inch squares with a knife or pastry wheel. Place about 2 teaspoons of the meat filling in the center of each square. Seal the dumplings by gathering the edges of the dough and pinching them together at the top to form a bundle. Transfer the finished manti to a floured plate, and sprinkle more flour over the manti to prevent sticking. Repeat with the second piece of dough. Heat the oil and red pepper flakes in a small skillet over low heat just until the pepper flakes have started to color the oil; don't let them burn. Remove from the heat and keep warm. Stir the minced garlic into the yogurt and set aside. Bring a large pot of salted water to a boil over medium-high heat, and cook the manti until the filling is no longer pink, and the dough is tender, 20 to 25 minutes. Drain well. Divide the manti among four plates. Spoon the yogurt sauce over the manti and drizzle each serving with the hot pepper oil.",35 mins,25 mins,1 hr 30 mins,4,4 servings,560.1,64.4,9.4,23.2,6.5,120.0,23.2,4.3,439.5,208.9,162.6,4.8,49.1,565.7,1074.8,10.6,11.2,158.5,0.6,Turkish,2; ½; 2; ½; 2; ½; no quantity; 3; 1; 1; 1 (8 ounce),cups; teaspoon; no unit; teaspoon; no unit; pound; no unit; tablespoons; tablespoon; tablespoon; no unit,"flour; salt; eggs; water, or as needed; onions, peeled; ground beef; salt and pepper to taste; vegetable oil; red pepper flakes; minced garlic; container plain yogurt"
Cheesy Broccoli and Chicken Casserole,dinner,"broccoli,chicken, meat ,mayonnaise,whipping cream,chicken soup,dill, black pepper,Cheddar cheese,cooking spray","broccoli,chicken, meat ,mayonnaise,whipping cream,chicken soup,dill, black pepper,Cheddar cheese,cooking spray",https://www.allrecipes.com/recipe/260604/cheesy-broccoli-and-chicken-casserole/,meat-and-poultry,Robyn Stone,"Delicious, filling, gluten free, keto friendly, and super easy!",4.71,79,55,"2 heads broccoli, cut into florets ; 1 large rotisserie chicken, meat pulled and shredded ; 1 cup mayonnaise ; ⅔ cup heavy whipping cream ; 1 tablespoon chicken soup base ; 1 tablespoon dried dill weed ; 1 teaspoon ground black pepper ; 2 cups shredded Cheddar cheese ;   cooking spray","Preheat oven to 350 degrees F (175 degrees C). Place broccoli florets in a 9x13-inch baking dish. Layer shredded chicken on top; press down onto broccoli. Combine mayonnaise, heavy cream, chicken soup base, dill, and pepper in a bowl; mix well. Spread evenly over chicken and top with Cheddar cheese. Grease a piece of aluminum foil with cooking spray and cover baking dish with greased-side down. Bake covered in the preheated oven, about 45 minutes. Remove aluminum foil and bake until golden brown, about 15 minutes. Remove from oven and let stand for 10 to 20 minutes before serving.",15 mins,1 hr,1 hr 25 mins,10,1 9x13-inch baking dish,356.8,6.0,1.6,31.8,11.3,68.6,13.4,1.7,519.8,286.4,212.6,1.0,27.0,282.7,918.1,5.3,53.8,44.3,0.1,Middle East,2; 1; 1; no quantity; 1; 1; 1; 2; no quantity,no unit; no unit; cup; no unit; tablespoon; tablespoon; teaspoon; cups; no unit,"heads broccoli, cut into florets; large rotisserie chicken, meat pulled and shredded; mayonnaise; ⅔ cup heavy whipping cream; chicken soup base; dried dill weed; ground black pepper; shredded Cheddar cheese; cooking spray"
Easy Lemon-Shrimp Pasta,dinner,"pasta,butter,red bell pepper,garlic,shrimp,lemon juice,lemon zest,Parmesan cheese,parsley","pasta,butter,red pepper,garlic,shrimp,lemon juice,lemon zest,Parmesan cheese,parsley",https://www.allrecipes.com/recipe/277135/easy-lemon-shrimp-pasta/,main-dish,TGRAHAM4,"This lemon-shrimp pasta is quick, lemony, and a very merry light dish!",4.78,9,2,"6 ounces penne pasta ; 2 tablespoons butter ; 1 cup red bell pepper strips ; 1 teaspoon minced fresh garlic ; ½ pound uncooked medium shrimp, peeled and deveined ; 3 tablespoons lemon juice ; ½ teaspoon lemon zest, or more to taste ; 2 tablespoons Parmesan cheese, or to taste  (Optional); 1 tablespoon chopped fresh parsley, or to taste  (Optional)","Bring a large pot of lightly salted water to a boil. Add penne and cook, stirring occasionally, until tender yet firm to the bite, about 11 minutes. Drain and set aside. Meanwhile, melt butter in a 10-inch skillet over medium heat. Add red pepper strips and garlic; cook until peppers are tender and crisp, 2 to 3 minutes. Add shrimp and lemon juice; stir constantly until shrimp turn bright pink on the outside and the meat is opaque, 4 to 6 minutes. Add cooked pasta and lemon zest and toss lightly to coat. Serve sprinkled with Parmesan cheese and parsley.",15 mins,20 mins,35 mins,4,4 servings,270.0,33.6,3.0,8.0,4.4,103.8,16.3,2.3,182.6,72.4,61.2,2.8,41.3,255.7,1534.3,6.5,52.1,21.5,,Middle East,6; 2; 1; 1; ½; 3; ½; 2; 1,ounces; tablespoons; cup; teaspoon; pound; tablespoons; teaspoon; tablespoons; tablespoon,"penne pasta; butter; red bell pepper strips; minced fresh garlic; uncooked medium shrimp, peeled and deveined; lemon juice; lemon zest, or more to taste; Parmesan cheese, or to taste  (Optional); chopped fresh parsley, or to taste  (Optional)"
Swedish Meatball Casserole,dinner,"cream cheese,pasta,nutmeg,beef,egg,Worcestershire sauce","water,cream cheese,pasta,nutmeg,beef,bread crumbs,egg,Worcestershire sauce,salt,garlic powder",https://www.allrecipes.com/recipe/146576/swedish-meatball-casserole/,main-dish,Kate Bluhm,A rich and filling casserole that DOESN'T use chicken! A Home-Cooking favorite that's sure to please the whole family! Serve with your favorite vegetable side dish and enjoy!,3.25,8,8,"3 cups hot water ; 1 (3 ounce) package cream cheese, softened ; 1 (5.6 ounce) box beef pasta skillet meal (such as Hamburger Helper®) ; ½ teaspoon ground nutmeg ; 1 pound ground beef ; ¼ cup bread crumbs ; 1  egg, lightly beaten ; 2 tablespoons Worcestershire sauce ; 1 ½ teaspoons seasoned salt ; ½ teaspoon garlic powder","Preheat an oven to 400 degrees F (200 degrees C). Pour the hot water into a 3 quart casserole dish. Stir the softened cream cheese into the water.  Mix in the sauce mix from the packaged dinner and the nutmeg.  Add the uncooked noodles and stir until well combined. Cover and bake in a preheated oven for 30 minutes. In a large bowl, combine ground beef, bread crumbs, egg, Worcestershire sauce, seasoned salt, and garlic powder. Mix well and form into golf ball sized meatballs. Place a cooling rack onto a cookie sheet and arrange the meatballs on the rack.  Bake in the preheated oven until no longer pink in the center, about 15 minutes. Stir the cooked meatballs into the noodles and return the casserole to the oven. Cook uncovered for 5 to 10 minutes.",25 mins,50 mins,1 hr 15 mins,4,4 servings,460.4,34.2,2.9,23.5,10.6,140.8,27.1,1.7,1528.1,211.3,66.9,3.3,25.6,367.6,445.1,9.4,1.3,24.0,0.1,Middle East,3; 1 (3 ounce); 1; ½; 1; ¼; 1; 2; 1 ½; ½,cups; package; no unit; teaspoon; pound; cup; no unit; tablespoons; teaspoons; teaspoon,"hot water; cream cheese, softened; (5.6 ounce) box beef pasta skillet meal (such as Hamburger Helper®); ground nutmeg; ground beef; bread crumbs; egg, lightly beaten; Worcestershire sauce; seasoned salt; garlic powder"
Fresh Rosemary Chicken Thighs,lunch,"rosemary,lemon zest,black pepper,chicken thighs,olive oil","rosemary,lemon zest,salt,black pepper,chicken,olive oil,cooking spray",https://www.allrecipes.com/recipe/280308/fresh-rosemary-chicken-thighs/,meat-and-poultry,Arlene Tallman,"Quick, tasty rosemary chicken thighs.",4.75,4,1,1 ½ tablespoons chopped fresh rosemary leaves ; 1 teaspoon lemon zest ; 1 teaspoon kosher salt ; ½ teaspoon ground black pepper ; 4  chicken thighs ;   olive oil cooking spray,"Preheat the oven to 350 degrees F (175 degrees C). Combine rosemary, lemon zest, salt, and pepper in a bowl. Rub over chicken thighs and place in a baking dish. Spray with cooking spray. Bake in the preheated oven until thighs are no longer pink in the centers and juices run clear, 35 to 40 minutes. An instant-read thermometer inserted into the center should read 165 degrees F (74 degrees C).",10 mins,35 mins,45 mins,4,4 servings,190.7,0.4,,11.9,3.3,70.9,19.2,0.2,544.4,107.3,13.0,1.1,17.9,177.6,145.5,8.4,0.8,6.1,0.1,Middle East,1 ½; 1; 1; ½; 4; no quantity,tablespoons; teaspoon; teaspoon; teaspoon; no unit; no unit,chopped fresh rosemary leaves; lemon zest; kosher salt; ground black pepper; chicken thighs; olive oil cooking spray
Heather's Grilled Salmon,lunch,"brown sugar,olive oil,soy sauce,lemon,pepper,thyme,basil ,parsley,garlic powder,salmon fillets","brown sugar,olive oil,soy sauce,lemon,pepper,thyme,basil ,parsley,garlic powder,salmon fillets",https://www.allrecipes.com/recipe/218093/heathers-grilled-salmon/,main-dish,Heather Waldron,An easy delicious way to grill salmon. This also reheats nicely for lunches the next day!,4.83,712,506,¼ cup brown sugar ; ¼ cup olive oil ; ¼ cup soy sauce ; 2 teaspoons lemon pepper ; 1 teaspoon dried thyme ; 1 teaspoon dried basil ; 1 teaspoon dried parsley ; ½ teaspoon garlic powder ; 4 (6 ounce) salmon fillets,"Whisk together the brown sugar, olive oil, soy sauce, lemon pepper, thyme, basil, parsley, and garlic powder in a bowl, and pour into a resealable plastic bag. Add the salmon fillets, coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator for at least 1 hour, turning occasionally. Preheat an outdoor grill for medium heat, and lightly oil the grate. Remove the salmon from the marinade, and shake off excess. Discard the remaining marinade. Grill the salmon on the preheated grill until browned and the fish flakes easily with a fork, about 5 minutes on each side.",10 mins,10 mins,1 hr 20 mins,4,4 servings,379.8,15.7,13.8,19.4,2.8,87.8,34.7,0.5,1250.5,174.3,54.3,2.5,54.5,621.6,236.5,18.1,0.6,11.1,0.3,Middle East,¼; ¼; ¼; 2; 1; 1; 1; ½; 4 (6 ounce),cup; cup; cup; teaspoons; teaspoon; teaspoon; teaspoon; teaspoon; no unit,brown sugar; olive oil; soy sauce; lemon pepper; dried thyme; dried basil; dried parsley; garlic powder; salmon fillets
"Roast Chicken with Lemon, Garlic, and Rosemary",lunch,"chicken,salt,black pepper,rosemary,garlic,lemon","chicken,salt,black pepper,rosemary,garlic,lemon",https://www.allrecipes.com/recipe/264740/roast-chicken-with-lemon-garlic-and-rosemary/,meat-and-poultry,Magda,"Roast chicken could not be easier - or tastier - than with this recipe. Lemon, rosemary, and garlic help to flavor this gloriously roasted chicken with crispy skin.",4.5,4,2,"1  whole chicken ; 1 tablespoon salt ; 1 teaspoon ground black pepper ; 2 sprigs rosemary ; 3 cloves garlic, peeled ; 1  lemon, halved","Preheat the oven to 450 degrees F (230 degrees C). Pat chicken dry and sprinkle salt on all sides and inside the cavity. Sprinkle with black pepper. Pluck the leaves from 1 spring of rosemary and sprinkle on the chicken. Place the other whole sprig inside the cavity along with garlic and lemon. Place the chicken on a roasting rack set inside a roasting pan. Bake in the preheated oven until no longer pink at the bone and the juices run clear, about 1 hour. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read 165 degrees F (74 degrees C).",15 mins,1 hr,1 hr 15 mins,4,4 servings,437.6,4.0,,25.8,7.2,145.5,46.4,1.5,1885.4,231.9,48.0,2.8,43.5,461.5,179.1,14.3,21.7,12.0,0.1,Middle East,1; 1; 1; 2; 3; 1,no unit; tablespoon; teaspoon; no unit; cloves; no unit,"whole chicken; salt; ground black pepper; sprigs rosemary; garlic, peeled; lemon, halved"
Super Easy Chicken Fingers,lunch,"chicken breast,butter,Italian seasoned bread crumbs","chicken,butter,bread crumbs",https://www.allrecipes.com/recipe/8745/super-easy-chicken-fingers/,meat-and-poultry,Trudi Davidoff,These strips are so easy to make. They are my family's favorite. They also are good on rolls or bread for a yummy sandwich.,4.21,128,97,"1 pound skinless, boneless chicken breast halves - cut into bite size pieces ; 4 tablespoons butter, melted ; 1 ¼ cups Italian seasoned bread crumbs","Preheat oven to 325 degrees F (165 degrees C). Roll chicken pieces in the melted butter or margarine, then roll in the breadcrumbs Bake the chicken fingers in the preheated oven for about 10 minutes. Turn them over and cook for another 10 minutes or until they are brown and pierce easily with a fork. Ready to serve!",,,,4,4 servings,371.0,25.7,2.2,16.3,8.6,95.6,29.0,1.8,797.7,146.6,83.1,2.6,39.6,284.9,443.2,18.4,1.0,48.1,0.1,Middle East,1; 4; 1 ¼,pound; tablespoons; cups,"skinless, boneless chicken breast halves - cut into bite size pieces; butter, melted; Italian seasoned bread crumbs"
Easy Chicken Alfredo,lunch,"linguine,chicken breast,mushrooms,Alfredo-style pasta sauce,vegetables,milk","linguine,chicken,mushrooms,pasta sauce,vegetable,milk",https://www.allrecipes.com/recipe/11970/easy-chicken-alfredo/,main-dish,jojolyn,A quick dinner for those hectic nights. For extra flavor try cooking the chicken with lemon pepper and seasoning salt.,4.25,106,75,"1 pound uncooked linguine ; 2  boneless chicken breast halves, cooked and cubed ; 1 (4.5 ounce) can sliced mushrooms ; 1 (16 ounce) jar Alfredo-style pasta sauce ; 1 (10 ounce) package frozen mixed vegetables ; ⅓ cup milk","In a large pot cook fettuccini or linguini pasta in boiling salted water until al dente. Drain well. Meanwhile, in a large saucepan over medium-low heat add cubed cooked chicken, mushrooms, Alfredo sauce,  , and milk. Cook until heated through. Serve warm Alfredo sauce over cooked fettuccini or linguini noodles.",5 mins,20 mins,25 mins,4,4 servings,901.2,100.2,9.0,40.5,14.9,88.7,39.3,7.4,1314.9,364.8,75.6,4.7,89.4,531.9,3688.9,16.0,7.4,252.2,0.1,Middle East,1; 2; 1; 1 (16 ounce); 1 (10 ounce); ⅓,pound; no unit; no unit; jar; package; cup,"uncooked linguine; boneless chicken breast halves, cooked and cubed; (4.5 ounce) can sliced mushrooms; Alfredo-style pasta sauce; frozen mixed vegetables; milk"
A Southern Fried Chicken,lunch,"flour,salt,garlic powder,onion powder,black pepper,eggs,buttermilk,barbeque sauce,Worcestershire sauce,steak sauce,chicken,oil","flour,salt,garlic powder,onion powder,black pepper,egg,buttermilk,barbeque sauce,Worcestershire sauce,steak sauce,chicken,oil",https://www.allrecipes.com/recipe/57676/a-southern-fried-chicken/,meat-and-poultry,jason,"A cut-up chicken dredged in buttermilk and seasoned flour, then deep-fried to perfection.",3.76,175,131,"3 cups all-purpose flour ; 1 tablespoon seasoned salt ; 1 tablespoon garlic powder ; 1 tablespoon onion powder ; 1 tablespoon coarse ground black pepper ; 2  eggs ; 4 cups buttermilk ; 1 cup barbeque sauce ; 2 tablespoons Worcestershire sauce ; 1 tablespoon steak sauce ; 1 (3 pound) whole chicken, cut into pieces ; 2 cups oil for frying","In a large shallow dish, mix together flour, seasoned salt, garlic powder, onion powder, and black pepper. In a separate bowl, beat eggs, then whisk in buttermilk, barbeque sauce, Worcestershire sauce, and steak sauce. Dredge chicken in milk mixture, then in seasoned flour, alternating in each at least twice. Heat oil in a large, deep-sided skillet to 375 degrees F (190 degrees C). Cook chicken in hot oil until golden brown on both sides, about 10 minutes each side.",10 mins,20 mins,30 mins,6,6 servings,806.4,79.3,20.3,30.3,7.6,183.3,50.9,2.6,1322.5,272.6,260.0,5.9,77.1,825.7,487.7,25.2,3.9,145.4,0.7,Middle East,3; 1; 1; 1; 1; 2; 4; 1; 2; 1; 1 (3 pound); 2,cups; tablespoon; tablespoon; tablespoon; tablespoon; no unit; cups; cup; tablespoons; tablespoon; no unit; cups,"all-purpose flour; seasoned salt; garlic powder; onion powder; coarse ground black pepper; eggs; buttermilk; barbeque sauce; Worcestershire sauce; steak sauce; whole chicken, cut into pieces; oil for frying"
Authentic Pizza Margherita,lunch,"flour,salt,water,yeast,white sugar,flour,pizza sauce,mozzarella cheese ,basil,olive oil,salt","flour,salt,water,yeast,white sugar,pizza sauce,mozzarella cheese ,basil,olive oil,salt",https://www.allrecipes.com/recipe/222197/authentic-pizza-margherita/,main-dish,Allrecipes,"Inspired by the pizza at Bar Del Corso, this Pizza Margherita features tomato sauce, mozzarella, and basil, with just a hint of sea salt.",4.5,38,30,3 ½ cups all-purpose flour ; 1 teaspoon salt ; 1 cup water ; 1 (.25 ounce) package active dry yeast ; 1 pinch white sugar ; ¼ cup flour for dusting ; 2 cups pizza sauce ; 20 slices fresh mozzarella cheese ; 20 leaves fresh basil ;   olive oil ;   sea salt to taste,"Stir flour and 1 teaspoon salt in a bowl. Set aside. Mix water, yeast, and sugar in a large bowl. Let stand until yeast begins to form a creamy foam, about 5 minutes. Stir half the flour mixture into yeast mixture until no dry spots remain. Stir in remaining flour, 1/2 cup at a time, mixing well after each addition. When dough pulls together, turn it out onto a lightly floured surface and knead until smooth and elastic, about 8 minutes. Lightly oil a large bowl, then place dough in the bowl and turn to coat with oil. Cover with a light cloth and let rise in a warm place (80 to 95 degrees F (27 to 35 degrees C)) until doubled in volume, about 1 hour. Punch dough down, divide into 4 equal pieces, and form each into a ball. Preheat oven with a pizza stone to 500 degrees F (260 degrees C). Stretch out and pat 1 dough ball to form a circle 10 to 12 inches in diameter. Place dough on a lightly floured pizza peel. Top with 1/2 cup of tomato sauce and spread to cover within an inch of the edge of the dough. Arrange 5 slices of mozzarella cheese on top of the tomato sauce, then place 5 basil leaves on top. Drizzle pizza with 1 tablespoon olive oil and sprinkle with sea salt to taste. Repeat for 3 remaining dough balls. Slide each pizza onto the pizza stone in the preheated oven. Bake until cheese is bubbly and the underside of the crust is golden brown, 5 to 7 minutes.",30 mins,10 mins,1 hr 45 mins,4,4 pizzas,965.9,105.8,6.0,37.0,16.2,89.6,48.7,5.5,2187.4,333.3,1158.7,7.8,63.2,286.9,1382.4,17.6,12.0,269.7,1.0,Middle East,3 ½; 1; 1; 1; 1; ¼; 2; 20; 20; no quantity; no quantity,cups; teaspoon; cup; no unit; pinch; cup; cups; slices; no unit; no unit; no unit,all-purpose flour; salt; water; (.25 ounce) package active dry yeast; white sugar; flour for dusting; pizza sauce; fresh mozzarella cheese; leaves fresh basil; olive oil; sea salt to taste
Crab Fried Rice,lunch,"rice,water,vegetable oil,onions,garlic,white sugar,salt,egg,crabmeat ,onions,cilantro,cucumber,lime","rice,water,vegetable oil,onions,garlic,white sugar,salt,egg,crabmeat ,onion,cilantro,cucumber,lime",https://www.allrecipes.com/recipe/34690/crab-fried-rice/,main-dish,Karnjana,This fried rice is very easy and so popular for Thai and Chinese. Try this recipe and you'll find it is very nice taste. Serve with chili in fish sauce or called in Thai 'Nam Pla Prik.' Enjoy!!!,4.44,59,42,"⅔ cup uncooked long grain white rice ; 1 ⅓ cups water ; 3 tablespoons vegetable oil ; 2 medium onions, cut into wedges ; 3 cloves garlic, chopped ; ½ tablespoon white sugar ; 2 teaspoons salt ; 1  egg, beaten ; ¼ pound cooked crabmeat ; 3  green onions, chopped ; 1 tablespoon chopped cilantro ; ½  cucumber, sliced ; 1  lime, sliced","Place the rice and water in a saucepan, and bring to a boil. Reduce heat, cover, and simmer for 20 minutes. Heat the oil in a wok over medium heat. Cook and stir the onions and garlic in the hot oil until tender. Mix in the rice, sugar, and salt, and cook 5 minutes, until well blended. Stir in the egg until the rice is coated. Increase heat to high, and mix in the crabmeat, green onions, and cilantro. Continue cooking 2 to 5 minutes, until the crab is heated through. Garnish with the cucumber and lime slices to serve.",15 mins,40 mins,55 mins,4,4 servings,303.6,37.4,5.0,12.2,2.1,68.1,11.6,2.3,1294.0,110.0,68.2,2.0,41.8,343.1,287.0,5.1,13.7,92.7,0.2,Middle East,no quantity; 1 ⅓; 3; 2; 3; ½; 2; 1; ¼; 3; 1; ½; 1,no unit; cups; tablespoons; no unit; cloves; tablespoon; teaspoons; no unit; pound; no unit; tablespoon; no unit; no unit,"⅔ cup uncooked long grain white rice; water; vegetable oil; medium onions, cut into wedges; garlic, chopped; white sugar; salt; egg, beaten; cooked crabmeat; green onions, chopped; chopped cilantro; cucumber, sliced; lime, sliced"
Za'atar Chicken Thighs,lunch,"chicken thighs,olive oil ,salt,black pepper,za'atar","chicken,olive oil ,salt,black pepper,za'atar",https://www.allrecipes.com/recipe/262398/zaatar-chicken-thighs/,meat-and-poultry,Diana Moutsopoulos,"Chicken thighs that are ridiculously simple yet packed with flavor thanks to a generous amount of za'atar. I like to serve this chicken with a fresh green salad of romaine, red onion, and tomato with a tahini-lemon dressing.",4.91,23,19,"4  bone-in chicken thighs, with skin ; 1 tablespoon extra-virgin olive oil ;   sea salt and freshly ground black pepper to taste ; 3 tablespoons za'atar, divided, or more to taste","Preheat the oven to 350 degrees F (175 degrees C). Pat chicken dry with paper towels. Place chicken in a bowl and coat with olive oil. Season liberally with sea salt and black pepper on all sides. Heat a cast iron skillet over medium-high heat. Add chicken thighs, skin-side down, to the hot skillet. Sprinkle 1 teaspoon za'atar immediately over each chicken thigh. Cook chicken, without turning, until skin is crispy and browned, 7 to 10 minutes. Turn chicken so skin side faces up and remove skillet from heat. Sprinkle remaining za'atar quickly and evenly over each chicken thigh. Spoon some of the rendered chicken fat from the pan over the top of the za'atar. Place the skillet in the preheated oven and roast until juices run clear and chicken is no longer pink near the bone, about 15 minutes.",10 mins,25 mins,35 mins,4,4 servings,193.9,2.1,0.1,11.7,2.8,70.3,19.5,1.2,146.9,105.0,69.9,5.9,26.1,203.0,170.7,8.8,1.6,14.8,0.1,Middle East,4; 1; no quantity; 3,no unit; tablespoon; no unit; tablespoons,"bone-in chicken thighs, with skin; extra-virgin olive oil; sea salt and freshly ground black pepper to taste; za'atar, divided, or more to taste"
Chicken Tetrazzini for a Crowd,lunch,"spaghetti,cream of mushroom soup,Cheddar cheese,chicken breast,mushrooms ,peppers,chicken broth","spaghetti,cream of mushroom soup,Cheddar cheese,chicken,mushrooms ,pepper",https://www.allrecipes.com/recipe/15036/chicken-tetrazzini-for-a-crowd/,main-dish,Lois Shaw,"If this is too much, make 2 casseroles; eat one, freeze the other. You can also use turkey breast meat. Avanti!",4.5,299,232,"1 pound spaghetti, broken into pieces ; 3 (10.75 ounce) cans  condensed cream of mushroom soup ; 12 ounces shredded Cheddar cheese ; 6 cups shredded boiled chicken breast meat ; 1 pound sauteed mushrooms ; 1 (4 ounce) jar sliced pimento peppers, drained ; 2 cups reserved chicken broth","Preheat oven to 350 degrees F (175 degrees C). Bring a large pot of salted water to a boil. Add uncooked spaghetti (broken into thirds) to the pot and cook for 8 to 10 minutes or until al dente. Drain and set aside. In a large saucepan, heat soup over low heat. Add shredded cheese (reserve some for topping) and stir together. Then add the cooked shredded chicken, mushrooms, pimento peppers and cooked spaghetti and stir all together. Add enough of the reserved broth to make it 'sloppy' and mix all together. Pour mixture into a 9x13 inch baking dish. Sprinkle reserved shredded cheese on top and bake in the preheated oven for 25 to 35 minutes or until bubbly.",,,,20,20 servings,279.1,21.4,2.0,12.0,5.2,49.4,20.7,1.1,506.4,108.2,140.3,2.0,30.5,272.1,366.8,10.3,5.2,63.5,0.3,Middle East,1; 3; 12; 6; 1; 1 (4 ounce); 2,pound; no unit; ounces; cups; pound; jar; cups,"spaghetti, broken into pieces; (10.75 ounce) cans  condensed cream of mushroom soup; shredded Cheddar cheese; shredded boiled chicken breast meat; sauteed mushrooms; sliced pimento peppers, drained; reserved chicken broth"
Easy and Quick Swiss Steak,dinner,"vegetable oil,flour,salt,paprika,beef steaks,pepper,red bell pepper,onions,tomatoes","vegetable oil,flour,salt,paprika,steak,pepper,red pepper,onion,tomato",https://www.allrecipes.com/recipe/74352/easy-and-quick-swiss-steak/,main-dish,azdadof5,"This was my favorite growing up. I was amazed when I was older and asked my mom for the recipe how EASY it is! A small amount of prep. time, a day in the slow cooker, and you'll be amazed! It sounds too simple to be good... TRUST me! This gets RAVE reviews when we make it! The amount of vegetables is only an estimate. Use as many or as few as you choose. When it's done, you will have a yummy gravy, and will have to carefully dig for the steak pieces.",3.92,119,87,"1 tablespoon vegetable oil ; 2 cups all-purpose flour ;   salt and pepper to taste ;   paprika to taste ; 2 pounds beef cube steaks ; 3  green bell pepper, sliced into rings ; 3  red bell pepper, sliced into rings ; 4  onions, sliced into rings ; 4 (14.5 ounce) cans crushed tomatoes","Heat the oil in a skillet over medium heat. In a bowl, mix the flour, salt and pepper, and paprika. Dredge the steaks in the flour mixture, and place in the skillet. Brown steaks on both sides, and remove from heat. In a slow cooker, alternate layers of steak, green bell pepper, red bell pepper, onion, and tomatoes. Cover, and cook 6 to 8 hours on Low, until steaks are very tender.",15 mins,8 hrs 10 mins,8 hrs 25 mins,8,8 servings,349.3,48.6,5.3,8.7,2.5,27.2,21.6,7.3,304.6,78.0,97.1,5.8,75.9,1077.8,3048.3,8.4,115.7,123.6,0.5,Middle East,1; 2; no quantity; no quantity; 2; 3; 3; 4; 4,tablespoon; cups; no unit; no unit; pounds; no unit; no unit; no unit; no unit,"vegetable oil; all-purpose flour; salt and pepper to taste; paprika to taste; beef cube steaks; green bell pepper, sliced into rings; red bell pepper, sliced into rings; onions, sliced into rings; (14.5 ounce) cans crushed tomatoes"
